des_scom;des_eve;des_vin;famiglia_matrice;esito_matrice;mapping_esito;motivo_mapping;righe;ticket_unici;concessionari;esempio_evento_descrizione
VINCENTE;Djokovic N.;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;BBET, DOMUSBET, WILLIAMHILL;TENNIS | US OPEN | US Open - Maschile 2026 | VINCENTE | Djokovic N.
VINCENTE;FC Inter;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;ADMIRAL, BBET, DOMUSBET, STANLEYBET, STARCASINO;CALCIO | FINLANDIA - I DIVISIONE | Veikkausliiga 2026 | VINCENTE | FC Inter
VINCENTE;Hammarby;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;ADMIRAL, BBET, DOMUSBET, MARATHON, SPORTBET, STARCASINO;CALCIO | SVEZIA - I DIVISIONE | Allsvenskanliga 2026 | VINCENTE | Hammarby
VINCENTE;Italia;;;;NON_MAPPATO;famiglia non riconosciuta;10;9;ADMIRAL, BBET, MARATHON, SPORTBET, STANLEYBET, STARCASINO;CALCIO | EUROPA - UEFA NATIONS LEAGUE | Europa Nations League 2026/2027 | VINCENTE | Italia
VINCENTE;Lazio;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;360BET, ADMIRAL, DOMUSBET, SPORTBET, STANLEYBET, STARCASINO;CALCIO | Serie A | Serie A 2026/27 | VINCENTE | Lazio
VINCENTE;Ogura A.;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;ADMIRAL, BBET, DOMUSBET, SPORTBET, WILLIAMHILL;MOTOCICLISMO | MONDO - MOTOMONDIALE | Mondiale Motogp 2026 | VINCENTE | Ogura A.
VINCENTE;R. Amorim;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;DOMUSBET;CALCIO | CALCIOMERCATO | Allenatore MILAN AL 01/09/26 | VINCENTE | R. Amorim
VINCENTE;Rangers;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;ADMIRAL, BBET, SPORTBET, STANLEYBET;CALCIO | SCOZIA - I DIVISIONE | Premiership 2026/27 | VINCENTE | Rangers
VINCENTE;Ross County;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;STANLEYBET;CALCIO | SCOZIA - III DIVISIONE | League One 2026/27 | VINCENTE | Ross County
VINCENTE;Sparta Praga;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;STANLEYBET;CALCIO | REP. CECA- I DIVISIONE | 1 Liga 2026/27 | VINCENTE | Sparta Praga
VINCENTE INFO AGG;Inter;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;WILLIAMHILL;CALCIO | ITALIA - I DIVISIONE | Serie A 2026/27 | VINCENTE INFO AGG | Inter
VINCENTE INFO AGG;Juventus;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;WILLIAMHILL;CALCIO | ITALIA - I DIVISIONE | Serie A 2026/27 | VINCENTE INFO AGG | Juventus
VINCERANNO TUTTI;Si;;;;NON_MAPPATO;famiglia non riconosciuta;10;10;STARCASINO;CALCIO | SPECIALI CALCIO | Vejle 24/07 / Ried 24/07 / Vasteraas SK 24/07 / Viborg 24/07 | VINCERANNO TUTTI | Si
1 O OV 2.5 O GG;SI;;;;NON_MAPPATO;famiglia non riconosciuta;9;3;STANLEYBET;CALCIO | GARA AMICHEVOLE | Hyde United FC - Chester | 1 O OV 2.5 O GG | SI
1 TEMPO/FINALE;X-2;;;;NON_MAPPATO;famiglia non riconosciuta;9;7;ADMIRAL;CALCIO | GARA AMICHEVOLE | Rosenborg - Manchester United | 1 TEMPO/FINALE | X-2
2 - 0 SI/NO;NO;;;;NON_MAPPATO;famiglia non riconosciuta;9;5;ADMIRAL;TENNIS | CHALLENGER DI USA | Zheng, Michael - Walton, Adam | 2 - 0 SI/NO | NO
CAPOCANNONIERE;Lionel Messi;;;;NON_MAPPATO;famiglia non riconosciuta;9;9;ADMIRAL, BBET, DOMUSBET;CALCIO | USA - I DIVISIONE | MLS 2026 | CAPOCANNONIERE | Lionel Messi
