iterazione;ticket_vincenti;ticket_esclusi_compatibilita;payout_totale
994;13203;7;5423832,91
995;14077;7;6457180,54
996;13400;7;5040065,3
997;12827;7;5656369,56
998;12368;7;5174831,8
999;12613;7;4568874,48
1000;12965;7;5309849,08
1001;13456;7;5358224,58
1002;12076;7;4197651,8
1003;13568;7;6017655,99
1004;13454;7;5531001,45
1005;12821;7;5120872,21
1006;12992;7;6241178,24
1007;12873;7;7106532,51
1008;15625;7;7031267,17
1009;12357;7;4196276,78
1010;13170;7;4901728,52
1011;12463;7;4673462,71
1012;12703;7;4825114,18
1013;13211;7;4456524,13
1014;12887;7;5851685,88
1015;12969;7;4811452,59
1016;13831;7;4910546,27
1017;13084;7;6090052,27
1018;14803;7;5994266,75
1019;13274;7;5554039,25
1020;13774;7;5335155,91
1021;13135;7;5301669,23
1022;11649;7;4297224,76
1023;13191;7;5673329,17
1024;13179;7;4723154,99
1025;13418;7;5517367,3
1026;14803;7;5612571,28
1027;12358;7;5038330,09
1028;12003;7;4312244,05
1029;14501;7;6935377,3
1030;12881;7;5422227,57
1031;14229;7;5405158,87
1032;12835;7;4983366,23
1033;12393;7;5363898,01
1034;13154;7;5503425,46
1035;13403;7;4925465,2
1036;12937;7;4911192,63
1037;13476;7;5663719,97
1038;12841;7;4984524,47
1039;12981;7;5002428,48
1040;12014;7;4542613,65
1041;14945;7;6248519,01
1042;12052;7;5021339,68
1043;13224;7;5228121,98
1044;13698;7;7538856,84
1045;12810;7;4756541,56
1046;13359;7;5695533,55
1047;14101;7;4804752,66
1048;13172;7;4916257,36
1049;12795;7;5846464,58
1050;13341;7;5483259,23
1051;13949;7;5669904,13
1052;13681;7;4893317,67
1053;12493;7;4514812,25
1054;13834;7;5216727,83
1055;13181;7;5828153,94
1056;12958;7;4246361,16
